Name,Month,Services,Products,Retention,Location,StartingTier,Password
James Kerr,July,255,1,63,Manlius,2,Pass004
Miles Willis,July,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,July,139,2,57,Manlius,2,Pass006
Mark Perry,July,158,2,61,Saratoga,2,Pass007
Chris Massaro,July,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,July,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,July,218,1,74,Baldwinsville,2,Pass010
Max Ritter,July,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,July,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,July,170,0,89,Manlius,3,Pass013
Lucas Boutin,July,161,0,85,Manlius,3,Pass014
Chase Olcott,August,197,6,70,Manlius,2,Pass001
John Townsend,August,208,5,34,Manlius,1,Pass002
Mike Harris,August,299,5,77,Baldwinsville,3,Pass003
James Kerr,August,255,1,63,Manlius,2,Pass004
Miles Willis,August,167,3,77,Saratoga,3,Pass005
Owen Petzoldt,August,139,2,57,Manlius,2,Pass006
Mark Perry,August,158,2,61,Saratoga,2,Pass007
Chris Massaro,August,184,2,92,Baldwinsville,3,Pass008
Zach Fonda,August,212,4,85,Baldwinsville,3,Pass009
Connor Alexander,August,218,1,74,Baldwinsville,2,Pass010
Max Ritter,August,199,3,56,Baldwinsville,2,Pass011
Eddie Sharpe,August,83,1,60,Baldwinsville,1,Pass012
Taylor Klein,August,170,0,89,Manlius,3,Pass013
Lucas Boutin,August,161,0,85,Manlius,3,Pass014
